index;name;imageLink;hyperLink
0;"Buld for Digital India";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/achievements/0.jpg";"https://www.linkedin.com/posts/sameer-tuteja_google-googleindia-buildfordigitalindia-activity-6689555880435859457-ufyp"
1;"Atal Innovation Mission";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/achievements/1.jpg";""
2;"Google Assistant Action";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/achievements/2.jpg";""
3;"Micro-Ros with ESP32";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/achievements/3.png";"https://micro.ros.org/docs/tutorials/core/first_application_rtos/freertos/"
4;"University funded project";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/achievements/4.png";"https://www.fh-aachen.de/studium/studieren/mitmachen-und-engagieren/studentische-projekte/studentische-projekte-2023"
5;"RoboCup Rescue Robot League 2023";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/achievements/5.png";"https://rrl.robocup.org/"
