index;name;imageLink;hyperLink
0;"Contacts directly from Google Forms";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/publications/0.jpg";"https://medium.com/@SameerT009/contacts-directly-from-google-form-f9af36c0f70f"
1;"Share Arduino code without actual code";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/publications/1.jpg";"https://medium.com/@SameerT009/share-arduino-code-without-actual-code-167557119129"
2;"Expandinf Voice Commands";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/publications/2.jpg";"https://www.researchgate.net/publication/335014223_Expanding_Voice_Commands_for_Visually_Impaired_Interfacing_Google_Home_with_Arduino_using_Webhooks"
3;"Connect ESP32 to ROS2 Foxy";"https://raw.githubusercontent.com/sam-tj/sam-tj.github.io/master/assets/images/publications/3.jpg";"https://medium.com/@SameerT009/connect-esp32-to-ros2-foxy-5f06e0cc64df"
